couple_id,f_age,f_imprace,f_attr,f_sinc,f_intel,f_fun,f_amb,f_like,m_age,m_imprace,m_attr,m_sinc,m_intel,m_fun,m_amb,m_like,int_corr,samerace,match
f4-m13,23.0,1.0,4.0,7.0,8.0,8.0,6.0,4.0,22.0,3.0,10.0,10.0,10.0,10.0,10.0,10.0,0.05,0,0
f4-m14,23.0,1.0,8.0,10.0,7.0,10.0,7.0,8.0,23.0,1.0,7.0,7.0,7.0,9.0,9.0,8.0,-0.18,1,1
f4-m15,23.0,1.0,6.0,9.0,8.0,9.0,8.0,7.0,24.0,3.0,8.0,8.0,9.0,8.0,8.0,9.0,0.21,0,0
f4-m16,23.0,1.0,5.0,10.0,8.0,4.0,8.0,4.0,25.0,9.0,6.0,6.0,7.0,7.0,8.0,6.0,0.37,1,0
f4-m17,23.0,1.0,7.0,10.0,10.0,7.0,10.0,5.0,30.0,1.0,7.0,6.0,3.0,5.0,6.0,6.0,0.35,1,0
f4-m18,23.0,1.0,5.0,9.0,9.0,5.0,9.0,6.0,27.0,8.0,6.0,7.0,8.0,6.0,6.0,7.0,0.15,1,0
f4-m19,23.0,1.0,9.0,8.0,10.0,10.0,7.0,8.0,28.0,1.0,7.0,7.0,7.0,10.0,9.0,8.0,-0.47,1,1
f4-m20,23.0,1.0,8.0,9.0,10.0,10.0,8.0,10.0,24.0,1.0,7.0,8.0,8.0,7.0,8.0,7.0,-0.19,1,0
f5-m11,21.0,8.0,5.0,8.0,8.0,2.0,2.0,7.0,27.0,7.0,6.0,8.0,8.0,8.0,7.0,6.0,-0.43,1,0
f5-m12,21.0,8.0,8.0,6.0,6.0,5.0,5.0,6.0,22.0,1.0,6.0,7.0,10.0,7.0,6.0,7.0,0.0,1,0
f5-m13,21.0,8.0,4.0,6.0,8.0,8.0,6.0,6.0,22.0,3.0,10.0,10.0,10.0,10.0,10.0,10.0,-0.17,0,0
f5-m14,21.0,8.0,8.0,5.0,5.0,7.0,7.0,8.0,23.0,1.0,6.0,8.0,6.0,8.0,10.0,7.0,0.08,1,1
f5-m15,21.0,8.0,6.0,7.0,7.0,5.0,4.0,7.0,24.0,3.0,5.0,9.0,9.0,7.0,9.0,5.0,-0.16,0,0
f5-m16,21.0,8.0,5.0,6.0,7.0,5.0,7.0,7.0,25.0,9.0,5.0,8.0,7.0,7.0,7.0,6.0,0.06,1,0
f5-m17,21.0,8.0,6.0,6.0,8.0,5.0,5.0,6.0,30.0,1.0,2.0,3.0,4.0,4.0,5.0,3.0,-0.05,1,0
f5-m18,21.0,8.0,5.0,5.0,7.0,6.0,7.0,6.0,27.0,8.0,5.0,5.0,6.0,5.0,5.0,6.0,0.07,1,0
f5-m19,21.0,8.0,7.0,5.0,7.0,8.0,7.0,9.0,28.0,1.0,5.0,9.0,9.0,9.0,9.0,7.0,-0.13,1,1
f5-m20,21.0,8.0,9.0,6.0,7.0,9.0,6.0,10.0,24.0,1.0,3.0,10.0,7.0,7.0,10.0,4.0,-0.06,1,0
f6-m11,23.0,1.0,6.0,9.0,7.0,6.0,7.0,6.0,27.0,7.0,7.0,9.0,8.0,9.0,8.0,7.0,0.33,0,0
f6-m12,23.0,1.0,6.0,9.0,9.0,6.0,8.0,7.0,22.0,1.0,6.0,8.0,10.0,6.0,7.0,7.0,0.37,0,0
f6-m13,23.0,1.0,4.0,7.0,9.0,4.0,3.0,6.0,22.0,3.0,10.0,10.0,10.0,10.0,10.0,10.0,-0.51,1,0
f6-m14,23.0,1.0,8.0,6.0,7.0,8.0,2.0,9.0,23.0,1.0,6.0,8.0,8.0,7.0,9.0,7.0,0.12,0,1
f6-m15,23.0,1.0,5.0,4.0,8.0,8.0,4.0,4.0,24.0,3.0,9.0,7.0,9.0,7.0,9.0,9.0,0.35,0,0
f6-m16,23.0,1.0,3.0,7.0,6.0,1.0,1.0,2.0,25.0,9.0,6.0,6.0,8.0,8.0,8.0,6.0,0.19,0,0
f6-m17,23.0,1.0,8.0,8.0,8.0,8.0,3.0,8.0,30.0,1.0,5.0,6.0,8.0,4.0,5.0,3.0,0.47,0,0
f6-m18,23.0,1.0,4.0,8.0,9.0,2.0,8.0,5.0,27.0,8.0,6.0,7.0,8.0,7.0,8.0,7.0,0.03,0,0
f6-m19,23.0,1.0,7.0,6.0,8.0,8.0,6.0,9.0,28.0,1.0,6.0,7.0,7.0,6.0,6.0,6.0,0.46,0,1
f6-m20,23.0,1.0,8.0,9.0,9.0,9.0,10.0,9.0,24.0,1.0,7.0,10.0,10.0,6.0,10.0,6.0,0.43,0,0
f7-m11,22.0,2.0,4.0,8.0,8.0,5.0,7.0,7.0,27.0,7.0,7.0,8.0,8.0,8.0,7.0,7.0,0.19,0,0
f7-m12,22.0,2.0,6.0,6.0,8.0,4.0,9.0,7.0,22.0,1.0,7.0,9.0,10.0,6.0,6.0,8.0,0.21,0,0
f7-m13,22.0,2.0,3.0,6.0,8.0,7.0,8.0,7.0,22.0,3.0,10.0,10.0,10.0,10.0,10.0,10.0,0.52,1,0
f7-m14,22.0,2.0,7.0,8.0,8.0,7.0,7.0,8.0,23.0,1.0,8.0,8.0,9.0,8.0,9.0,8.0,-0.46,0,1
f7-m15,22.0,2.0,4.0,7.0,7.0,4.0,8.0,5.0,24.0,3.0,8.0,7.0,9.0,6.0,9.0,8.0,-0.27,0,0
f7-m16,22.0,2.0,4.0,8.0,7.0,4.0,5.0,5.0,25.0,9.0,8.0,8.0,8.0,6.0,6.0,7.0,0.59,0,0
f7-m17,22.0,2.0,7.0,7.0,8.0,7.0,7.0,8.0,30.0,1.0,7.0,6.0,5.0,4.0,4.0,5.0,0.31,0,0
f7-m18,22.0,2.0,5.0,7.0,8.0,5.0,9.0,5.0,27.0,8.0,8.0,7.0,6.0,7.0,7.0,7.0,0.08,0,0
f7-m19,22.0,2.0,6.0,6.0,8.0,8.0,8.0,6.0,28.0,1.0,9.0,7.0,9.0,9.0,9.0,9.0,-0.34,0,1
f7-m20,22.0,2.0,8.0,6.0,7.0,7.0,8.0,7.0,24.0,1.0,7.0,6.0,8.0,6.0,8.0,7.0,-0.16,0,0
f8-m11,25.0,1.0,5.0,8.0,7.0,4.0,7.0,4.0,27.0,7.0,8.0,7.0,6.0,6.0,6.0,7.0,-0.03,1,0
f8-m12,25.0,1.0,8.0,7.0,7.0,9.0,6.0,8.0,22.0,1.0,8.0,8.0,10.0,7.0,6.0,9.0,-0.11,1,1
f8-m13,25.0,1.0,5.0,8.0,8.0,6.0,7.0,5.0,22.0,3.0,10.0,10.0,10.0,10.0,10.0,10.0,0.42,0,1
f8-m14,25.0,1.0,8.0,6.0,5.0,6.0,6.0,5.0,23.0,1.0,8.0,8.0,8.0,8.0,8.0,8.0,-0.4,1,1
f8-m16,25.0,1.0,6.0,8.0,8.0,5.0,6.0,6.0,25.0,9.0,8.0,7.0,7.0,7.0,8.0,7.0,0.28,1,1
f8-m17,25.0,1.0,6.0,7.0,8.0,5.0,7.0,6.0,30.0,1.0,6.0,4.0,7.0,5.0,6.0,4.0,0.05,1,0
f8-m18,25.0,1.0,5.0,6.0,7.0,4.0,5.0,5.0,27.0,8.0,9.0,8.0,8.0,8.0,7.0,7.0,0.17,1,1
f8-m19,25.0,1.0,8.0,8.0,5.0,9.0,8.0,7.0,28.0,1.0,8.0,7.0,8.0,10.0,8.0,8.0,-0.47,1,1
f8-m20,25.0,1.0,7.0,6.0,8.0,7.0,9.0,8.0,24.0,1.0,8.0,10.0,9.0,9.0,8.0,8.0,-0.21,1,1
f9-m11,26.0,1.0,8.0,10.0,9.0,8.0,7.0,5.0,27.0,7.0,6.0,8.0,7.0,8.0,7.0,6.0,0.19,0,0
f9-m12,26.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,22.0,1.0,8.0,8.0,10.0,7.0,6.0,8.0,0.03,0,1
f9-m13,26.0,1.0,5.0,10.0,10.0,6.0,6.0,8.0,22.0,3.0,10.0,10.0,10.0,10.0,10.0,10.0,0.68,0,1
f9-m14,26.0,1.0,10.0,9.0,8.0,8.0,7.0,7.0,23.0,1.0,7.0,8.0,7.0,8.0,8.0,7.0,-0.26,0,1
f9-m15,26.0,1.0,5.0,10.0,8.0,8.0,5.0,5.0,24.0,3.0,7.0,9.0,8.0,9.0,7.0,7.0,-0.01,0,1
f9-m16,26.0,1.0,8.0,9.0,9.0,7.0,6.0,6.0,25.0,9.0,6.0,6.0,7.0,8.0,7.0,6.0,0.42,0,1
f9-m17,26.0,1.0,6.0,8.0,9.0,6.0,6.0,7.0,30.0,1.0,8.0,6.0,7.0,8.0,6.0,8.0,0.21,0,1
f9-m18,26.0,1.0,6.0,7.0,8.0,7.0,9.0,7.0,27.0,8.0,7.0,7.0,7.0,7.0,6.0,7.0,0.1,0,0
f9-m19,26.0,1.0,8.0,5.0,5.0,6.0,5.0,7.0,28.0,1.0,6.0,6.0,6.0,7.0,6.0,6.0,-0.35,0,1
f9-m20,26.0,1.0,7.0,8.0,7.0,8.0,7.0,8.0,24.0,1.0,5.0,6.0,6.0,6.0,6.0,6.0,-0.23,0,0
f10-m11,26.0,4.0,6.0,10.0,10.0,6.0,6.0,6.0,27.0,7.0,7.0,8.0,7.0,8.0,6.0,6.0,0.3,1,0
f10-m12,26.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,22.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.65,1,0
f10-m13,26.0,4.0,6.0,10.0,10.0,10.0,6.0,7.0,22.0,3.0,10.0,10.0,10.0,10.0,10.0,10.0,-0.15,0,1
f10-m14,26.0,4.0,10.0,10.0,10.0,10.0,10.0,10.0,23.0,1.0,7.0,8.0,7.0,9.0,8.0,7.0,0.17,1,0
f10-m15,26.0,4.0,5.0,7.0,7.0,7.0,7.0,6.0,24.0,3.0,6.0,9.0,9.0,7.0,8.0,6.0,0.24,0,0
f10-m17,26.0,4.0,5.0,10.0,8.0,6.0,9.0,7.0,30.0,1.0,7.0,7.0,4.0,3.0,4.0,3.0,0.41,1,0
f10-m18,26.0,4.0,5.0,6.0,6.0,4.0,5.0,5.0,27.0,8.0,6.0,6.0,6.0,6.0,6.0,7.0,0.07,1,0
f10-m19,26.0,4.0,9.0,9.0,9.0,9.0,9.0,9.0,28.0,1.0,7.0,7.0,7.0,7.0,6.0,7.0,0.49,1,1
f10-m20,26.0,4.0,9.0,9.0,8.0,10.0,8.0,9.0,24.0,1.0,6.0,6.0,6.0,6.0,6.0,7.0,0.08,1,0
f21-m40,21.0,8.0,6.0,8.0,7.0,9.0,5.0,9.0,25.0,9.0,3.0,10.0,10.0,6.0,4.0,4.0,-0.23,1,0
f21-m41,21.0,8.0,5.0,8.0,7.0,5.0,9.0,7.0,30.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,-0.3,1,0
f21-m42,21.0,8.0,8.0,9.0,8.0,8.0,7.0,9.0,23.0,1.0,3.0,10.0,9.0,5.0,9.0,6.0,0.46,1,0
f21-m43,21.0,8.0,5.0,8.0,8.0,4.0,9.0,6.0,24.0,1.0,4.0,5.0,6.0,4.0,6.0,5.0,0.43,0,0
f21-m44,21.0,8.0,7.0,7.0,8.0,5.0,7.0,6.0,24.0,3.0,6.0,7.0,8.0,6.0,7.0,8.0,-0.4,0,0
f21-m45,21.0,8.0,6.0,8.0,8.0,6.0,8.0,5.0,28.0,6.0,7.0,8.0,8.0,7.0,9.0,7.0,0.01,0,0
f21-m46,21.0,8.0,6.0,8.0,8.0,6.0,8.0,8.0,26.0,2.0,6.0,7.0,10.0,8.0,9.0,8.0,0.22,0,0
f21-m47,21.0,8.0,4.0,7.0,7.0,4.0,7.0,5.0,30.0,2.0,9.0,5.0,6.0,5.0,5.0,5.0,-0.06,0,0
f21-m48,21.0,8.0,7.0,7.0,7.0,5.0,6.0,6.0,22.0,9.0,3.0,8.0,5.0,5.0,8.0,4.0,-0.08,0,0
f21-m49,21.0,8.0,9.0,9.0,10.0,9.0,9.0,9.0,25.0,1.0,6.0,7.0,8.0,4.0,6.0,6.0,0.28,1,0
f21-m51,21.0,8.0,7.0,4.0,6.0,4.0,4.0,2.0,23.0,5.0,2.0,8.0,8.0,3.0,2.0,5.0,0.44,0,0
f21-m52,21.0,8.0,5.0,8.0,8.0,5.0,8.0,6.0,21.0,10.0,6.0,6.0,8.0,6.0,7.0,6.0,0.62,0,0
f21-m53,21.0,8.0,6.0,8.0,7.0,7.0,7.0,6.0,28.0,2.0,6.0,8.0,8.0,7.0,7.0,7.0,-0.08,0,0
f21-m54,21.0,8.0,6.0,8.0,7.0,6.0,8.0,6.0,28.0,1.0,5.0,7.0,7.0,7.0,7.0,5.0,-0.2,0,0
f21-m55,21.0,8.0,5.0,9.0,9.0,8.0,9.0,8.0,23.0,1.0,5.0,8.0,10.0,7.0,9.0,6.0,0.39,0,0
f22-m40,27.0,1.0,5.0,7.0,7.0,6.0,7.0,6.0,25.0,9.0,4.0,10.0,8.0,8.0,6.0,3.0,0.29,0,0
f22-m41,27.0,1.0,4.0,7.0,6.0,6.0,7.0,3.0,30.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,-0.23,0,0
f22-m42,27.0,1.0,5.0,6.0,6.0,5.0,6.0,3.0,23.0,1.0,3.0,6.0,8.0,5.0,5.0,2.0,0.44,0,0
f22-m43,27.0,1.0,5.0,7.0,7.0,5.0,7.0,4.0,24.0,1.0,4.0,5.0,5.0,3.0,5.0,5.0,-0.04,0,0
f22-m44,27.0,1.0,6.0,8.0,8.0,7.0,7.0,6.0,24.0,3.0,6.0,7.0,6.0,6.0,8.0,6.0,-0.21,0,1
f22-m45,27.0,1.0,6.0,7.0,7.0,4.0,6.0,6.0,28.0,6.0,7.0,7.0,7.0,5.0,6.0,6.0,-0.02,0,1
f22-m46,27.0,1.0,8.0,7.0,7.0,7.0,6.0,7.0,26.0,2.0,5.0,8.0,5.0,5.0,6.0,5.0,-0.33,0,0
f22-m49,27.0,1.0,6.0,7.0,7.0,5.0,7.0,5.0,25.0,1.0,7.0,8.0,7.0,7.0,7.0,7.0,-0.08,0,0
f22-m51,27.0,1.0,3.0,4.0,5.0,4.0,4.0,2.0,23.0,5.0,2.0,2.0,3.0,2.0,2.0,2.0,-0.52,0,0
f22-m52,27.0,1.0,3.0,6.0,7.0,5.0,5.0,2.0,21.0,10.0,4.0,6.0,7.0,6.0,5.0,4.0,0.03,0,0
f22-m53,27.0,1.0,7.0,7.0,8.0,6.0,7.0,8.0,28.0,2.0,6.0,8.0,8.0,7.0,8.0,7.0,0.5,0,0
f22-m54,27.0,1.0,4.0,5.0,5.0,4.0,5.0,4.0,28.0,1.0,4.0,7.0,7.0,6.0,6.0,6.0,0.33,0,0
f22-m55,27.0,1.0,6.0,7.0,7.0,7.0,7.0,7.0,23.0,1.0,5.0,8.0,9.0,7.0,10.0,7.0,0.16,1,0
f23-m40,21.0,9.0,5.0,7.0,6.0,6.0,6.0,8.0,25.0,9.0,5.0,4.0,3.0,7.0,4.0,1.0,0.22,1,0
f23-m41,21.0,9.0,5.0,7.0,7.0,6.0,6.0,7.0,30.0,1.0,8.0,8.0,8.0,8.0,8.0,5.0,0.06,1,0
f23-m42,21.0,9.0,6.0,6.0,7.0,6.0,6.0,6.5,23.0,1.0,6.0,10.0,9.0,8.0,9.0,8.0,0.41,1,0
f23-m43,21.0,9.0,5.0,7.0,8.0,6.0,6.0,7.0,24.0,1.0,4.0,6.0,5.0,4.0,3.0,6.0,-0.35,0,1
f23-m44,21.0,9.0,7.0,7.0,7.0,6.0,6.0,9.0,24.0,3.0,8.0,8.0,8.0,10.0,7.0,8.0,-0.17,0,1
f23-m45,21.0,9.0,6.0,7.0,7.0,6.0,7.0,7.0,28.0,6.0,7.0,8.0,7.0,6.0,6.0,7.0,-0.1,0,1
f23-m46,21.0,9.0,7.0,6.0,7.0,7.0,7.0,7.0,26.0,2.0,6.0,8.0,9.0,8.0,8.0,8.0,-0.52,0,0
f23-m47,21.0,9.0,5.0,6.0,7.0,6.0,6.0,6.0,30.0,2.0,5.0,6.0,6.0,4.0,7.0,6.0,0.21,0,0
f23-m48,21.0,9.0,6.0,6.0,6.0,8.0,6.0,6.0,22.0,9.0,4.0,6.0,6.0,4.0,3.0,3.0,0.58,0,0
f23-m49,21.0,9.0,7.0,7.0,6.0,7.0,6.0,8.0,25.0,1.0,7.0,8.0,8.0,6.0,7.0,6.0,-0.23,1,0
f23-m51,21.0,9.0,7.0,6.0,5.0,4.0,4.0,6.0,23.0,5.0,4.0,6.0,4.0,1.0,1.0,2.0,-0.57,0,0
f23-m52,21.0,9.0,6.0,6.0,5.0,7.0,5.0,6.0,21.0,10.0,7.0,7.0,6.0,6.0,6.0,5.0,-0.13,0,0
f23-m54,21.0,9.0,6.0,7.0,6.0,6.0,5.0,6.0,28.0,1.0,6.0,7.0,7.0,7.0,9.0,7.0,0.35,0,0
f23-m55,21.0,9.0,6.0,8.0,7.0,6.0,7.0,6.0,23.0,1.0,6.0,9.0,10.0,8.0,10.0,7.0,0.1,0,0
f24-m40,27.0,2.0,5.0,6.0,7.0,7.0,7.0,6.0,25.0,9.0,5.0,10.0,9.0,9.0,8.0,2.0,-0.31,0,0
f24-m47,27.0,2.0,5.0,7.0,7.0,7.0,7.0,7.0,30.0,2.0,6.0,6.0,6.0,5.0,6.0,6.0,0.04,1,0
f24-m51,27.0,2.0,6.0,6.0,8.0,7.0,8.0,7.0,23.0,5.0,7.0,5.0,7.0,6.0,6.0,6.0,-0.07,1,0
f25-m40,25.0,10.0,7.0,8.0,9.0,6.0,8.0,6.0,25.0,9.0,8.0,10.0,9.0,9.0,8.0,3.0,-0.12,0,0
f25-m41,25.0,10.0,5.0,8.0,8.0,6.0,8.0,7.0,30.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,0.09,0,0
f25-m42,25.0,10.0,6.0,7.0,8.0,7.0,9.0,7.0,23.0,1.0,8.0,9.0,7.0,7.0,5.0,8.0,0.58,0,0
f25-m43,25.0,10.0,4.0,5.0,10.0,4.0,10.0,4.0,24.0,1.0,8.0,5.0,6.0,6.0,5.0,6.0,-0.2,1,0
f25-m44,25.0,10.0,6.0,7.0,9.0,7.0,9.0,5.0,24.0,3.0,7.0,6.0,6.0,7.0,5.0,7.0,-0.29,1,0
f25-m45,25.0,10.0,6.0,8.0,7.0,5.0,8.0,7.0,28.0,6.0,7.0,6.0,6.0,7.0,6.0,7.0,-0.01,1,0
f25-m46,25.0,10.0,7.0,8.0,8.0,6.0,10.0,8.0,26.0,2.0,10.0,8.0,7.0,8.0,7.0,9.5,-0.24,1,0
f25-m47,25.0,10.0,3.0,8.0,9.0,8.0,10.0,8.0,30.0,2.0,6.0,7.0,5.0,5.0,5.0,6.0,-0.05,1,0
f25-m49,25.0,10.0,8.0,8.0,9.0,8.0,9.0,9.0,25.0,1.0,9.0,8.0,7.0,8.0,6.0,8.0,0.06,0,0
f25-m51,25.0,10.0,6.0,5.0,8.0,7.0,10.0,6.0,23.0,5.0,6.0,4.0,7.0,6.0,2.0,3.0,0.11,1,0
f25-m52,25.0,10.0,5.0,4.0,7.0,5.0,9.0,5.0,21.0,10.0,8.0,7.0,7.0,7.0,6.0,7.0,0.28,1,0
f25-m53,25.0,10.0,7.0,8.0,9.0,7.0,8.0,7.0,28.0,2.0,9.0,8.0,8.0,8.0,8.0,8.0,0.11,1,0
f25-m54,25.0,10.0,5.0,8.0,8.0,6.0,9.0,6.0,28.0,1.0,8.0,9.0,9.0,9.0,7.0,7.0,-0.15,1,0
f25-m55,25.0,10.0,7.0,7.0,7.0,8.0,8.0,7.0,23.0,1.0,8.0,9.0,8.0,10.0,9.0,9.0,0.53,0,0
f26-m40,23.0,2.0,2.0,5.0,5.0,3.0,5.0,2.0,25.0,9.0,8.0,9.0,9.0,8.0,7.0,3.0,-0.38,0,0
f26-m41,23.0,2.0,2.0,5.0,5.0,3.0,5.0,2.0,30.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,-0.05,0,0
f26-m42,23.0,2.0,2.0,5.0,5.0,3.0,7.0,3.0,23.0,1.0,7.0,8.0,8.0,9.0,8.0,7.0,0.04,0,0
f26-m43,23.0,2.0,2.0,6.0,7.0,1.0,7.0,2.0,24.0,1.0,6.0,5.0,7.0,5.0,5.0,5.0,-0.02,1,0
f26-m44,23.0,2.0,3.0,8.0,7.0,6.0,6.0,5.0,24.0,3.0,8.0,7.0,7.0,8.0,7.0,9.0,0.46,1,0
f26-m45,23.0,2.0,4.0,7.0,6.0,1.0,4.0,2.0,28.0,6.0,7.0,6.0,8.0,7.0,6.0,8.0,-0.06,1,0
f26-m46,23.0,2.0,7.0,4.0,5.0,6.0,5.0,6.0,26.0,2.0,10.0,9.0,9.0,10.0,7.0,9.5,0.22,1,0
f26-m47,23.0,2.0,3.0,7.0,6.0,4.0,6.0,2.0,30.0,2.0,5.0,6.0,6.0,6.0,6.0,6.0,-0.05,1,0
f26-m49,23.0,2.0,5.0,8.0,8.0,7.0,7.0,5.0,25.0,1.0,9.0,8.0,7.0,7.0,7.0,8.0,0.02,0,0
f26-m51,23.0,2.0,6.0,7.0,6.0,5.0,6.0,6.0,23.0,5.0,7.0,3.0,5.0,5.0,3.0,6.0,0.05,1,0
f26-m52,23.0,2.0,2.0,7.0,6.0,4.0,4.0,5.0,21.0,10.0,8.0,7.0,7.0,7.0,6.0,7.0,0.06,1,0
f26-m53,23.0,2.0,6.0,8.0,8.0,6.0,7.0,6.0,28.0,2.0,9.0,9.0,9.0,9.0,8.0,8.0,0.08,1,0
f26-m54,23.0,2.0,2.0,8.0,7.0,2.0,7.0,3.0,28.0,1.0,8.0,8.0,7.0,8.0,7.0,7.0,0.16,1,0
f26-m55,23.0,2.0,6.0,6.0,6.0,6.0,6.0,6.0,23.0,1.0,8.0,9.0,8.0,9.0,9.0,9.0,0.03,0,0
f27-m40,22.0,1.0,2.0,6.0,6.0,6.0,6.0,3.0,25.0,9.0,9.0,8.0,6.0,8.0,7.0,5.0,-0.13,0,0
f27-m41,22.0,1.0,1.0,6.0,4.0,2.0,1.0,2.0,30.0,1.0,8.0,8.0,8.0,8.0,8.0,8.0,-0.04,0,0
f27-m42,22.0,1.0,1.0,4.0,6.0,2.0,6.0,2.0,23.0,1.0,8.0,9.0,8.0,9.0,8.0,9.0,-0.07,0,0
f27-m43,22.0,1.0,1.0,6.0,7.0,6.0,4.0,2.0,24.0,1.0,7.0,6.0,5.0,7.0,3.0,6.0,-0.16,0,0
f27-m44,22.0,1.0,1.0,3.0,4.0,2.0,2.0,1.0,24.0,3.0,9.0,7.0,7.0,7.0,6.0,7.0,0.44,0,0
f27-m45,22.0,1.0,3.0,6.0,6.0,4.0,5.0,1.0,28.0,6.0,8.0,8.0,7.0,8.0,6.0,8.0,-0.27,0,0
